x\y		|	 0.0000E+00	|	 0.1000E+01	|	  
 0.8900E+02	|	 0.5730E+02	|	ndet		|	  
 0.8901E+02	|	 0.5764E+02	|	 0.9551E+04	|	  
 0.8902E+02	|	 0.5823E+02	|	 0.3581E+04	|	  
 0.8903E+02	|	 0.5877E+02	|	 0.2291E+04	|	  
 0.8904E+02	|	 0.5938E+02	|	 0.1637E+04	|	  
 0.8905E+02	|	 0.6006E+02	|	 0.1246E+04	|	  
 0.8906E+02	|	 0.6063E+02	|	 0.1042E+04	|	  
 0.8907E+02	|	 0.6128E+02	|	 0.8814E+03	|	  
 0.8908E+02	|	 0.6201E+02	|	 0.7539E+03	|	  
 0.8909E+02	|	 0.6269E+02	|	 0.6662E+03	|	  
 0.8910E+02	|	 0.6331E+02	|	 0.6031E+03	|	  
 0.8911E+02	|	 0.6402E+02	|	 0.5456E+03	|	  
 0.8912E+02	|	 0.6482E+02	|	 0.4939E+03	|	  
 0.8913E+02	|	 0.6548E+02	|	 0.4584E+03	|	  
 0.8914E+02	|	 0.6624E+02	|	 0.4244E+03	|	  
 0.8915E+02	|	 0.6709E+02	|	 0.3924E+03	|	  
 0.8916E+02	|	 0.6789E+02	|	 0.3673E+03	|	  
 0.8917E+02	|	 0.6862E+02	|	 0.3472E+03	|	  
 0.8918E+02	|	 0.6945E+02	|	 0.3274E+03	|	  
 0.8919E+02	|	 0.7039E+02	|	 0.3080E+03	|	  
 0.8920E+02	|	 0.7127E+02	|	 0.2923E+03	|	  
 0.8921E+02	|	 0.7207E+02	|	 0.2795E+03	|	  
 0.8922E+02	|	 0.7308E+02	|	 0.2653E+03	|	  
 0.8923E+02	|	 0.7403E+02	|	 0.2535E+03	|	  
 0.8924E+02	|	 0.7490E+02	|	 0.2438E+03	|	  
 0.8925E+02	|	 0.7589E+02	|	 0.2339E+03	|	  
 0.8926E+02	|	 0.7701E+02	|	 0.2238E+03	|	  
 0.8927E+02	|	 0.7806E+02	|	 0.2154E+03	|	  
 0.8928E+02	|	 0.7903E+02	|	 0.2083E+03	|	  
 0.8929E+02	|	 0.8014E+02	|	 0.2010E+03	|	  
 0.8930E+02	|	 0.8139E+02	|	 0.1936E+03	|	  
 0.8931E+02	|	 0.8244E+02	|	 0.1879E+03	|	  
 0.8932E+02	|	 0.8365E+02	|	 0.1819E+03	|	  
 0.8933E+02	|	 0.8501E+02	|	 0.1758E+03	|	  
 0.8934E+02	|	 0.8629E+02	|	 0.1705E+03	|	  
 0.8935E+02	|	 0.8748E+02	|	 0.1661E+03	|	  
 0.8936E+02	|	 0.8883E+02	|	 0.1614E+03	|	  
 0.8937E+02	|	 0.9037E+02	|	 0.1565E+03	|	  
 0.8938E+02	|	 0.9168E+02	|	 0.1528E+03	|	  
